date,ths_time,ths_target,ths_top10,jq_time,jq_target,jq_top10,signal_target_match,top1_match,top10_overlap
2020-07-24,13:10:00,161226,"['161226', '512890', '515220', '512200', '513030', '510880', '159980', '159985', '511380', '518880']",13:10:00,161226,"['161226', '512890', '515220', '512200', '513030', '510880', '159980', '159985', '511380', '518880']",True,True,10
2020-07-27,13:10:00,513030,"['513030', '159980', '159985', '518880', '513500', '513520']",13:10:00,513030,"['513030', '159980', '159985', '518880', '513500', '513520']",True,True,6
2020-07-28,13:10:00,513030,"['513030', '159980', '518880', '159985', '513500', '513520']",13:10:00,513030,"['513030', '159980', '518880', '159985', '513500', '513520']",True,True,6
2020-07-29,13:10:00,159980,"['159980', '518880', '159985', '513520']",13:10:00,159980,"['159980', '518880', '159985', '513520']",True,True,4
2020-07-30,13:10:00,512010,"['512010', '159967', '512400', '159928', '159949', '512170', '513030', '518880', '159980', '159915']",13:10:00,512010,"['512010', '159967', '512400', '159928', '159949', '512170', '513030', '518880', '159980', '159915']",True,True,10
2020-07-31,13:10:00,512010,"['512010', '159967', '159928', '512400', '159949', '512170', '513030', '518880', '159980', '159915']",13:10:00,512010,"['512010', '159967', '159928', '512400', '159949', '512170', '513030', '518880', '159980', '159915']",True,True,10
2020-08-03,13:10:00,512010,"['512010', '159967', '159949', '159928', '512400', '518880', '512170', '513030', '159980', '159915']",13:10:00,512010,"['512010', '159967', '159949', '159928', '512400', '518880', '512170', '513030', '159980', '159915']",True,True,10
2020-08-04,13:10:00,512010,"['512010', '159967', '159949', '518880', '159928', '512170', '512400', '513030', '159980', '512100']",13:10:00,512010,"['512010', '159967', '159949', '518880', '159928', '512170', '512400', '513030', '159980', '512100']",True,True,10
2020-08-05,13:10:00,512010,"['512010', '159967', '518880', '159949', '512170', '159928', '512400', '159980', '512100', '513030']",13:10:00,512010,"['512010', '159967', '518880', '159949', '512170', '159928', '512400', '159980', '512100', '513030']",True,True,10
2020-08-06,13:10:00,512010,"['512010', '159967', '518880', '512170', '159949', '512400', '159928', '159980', '513500', '513030']",13:10:00,512010,"['512010', '159967', '518880', '512170', '159949', '512400', '159928', '159980', '513500', '513030']",True,True,10
2020-08-07,13:10:00,518880,"['518880', '512400', '513500', '159928', '513030', '513100']",13:10:00,518880,"['518880', '512400', '159980', '513500', '159928', '513030', '513100']",True,True,6
