date,value,positions,positions_raw
2023-07-21,6350056.41,['159985'],159985.XSHE:3013400:6337180.20
2023-07-24,6362110.01,['159985'],159985.XSHE:3013400:6349233.80
2023-07-25,6479627.81,['159985'],159985.XSHE:3013300:6466541.80
2023-07-26,6524827.31,['159985'],159985.XSHE:3013300:6511741.30
2023-07-27,6600155.71,['159985'],159985.XSHE:3013200:6586855.20
2023-07-28,6524825.71,['159985'],159985.XSHE:3013200:6511525.20
2023-07-31,6494690.11,['159985'],159985.XSHE:3013300:6481608.30
2023-08-01,6537791.72,['501018'],501018.XSHG:5232800:6525301.60
2023-08-02,6604982.32,"['501018', '512880']",501018.XSHG:389600:490116.80|512880.XSHG:6007300:6115431.40
2023-08-03,6748087.87,['512200'],512200.XSHG:9380800:6735414.40
2023-08-04,6547299.68,['513090'],513090.XSHG:5282600:6534576.20
2023-08-07,6473339.18,['513090'],513090.XSHG:5282300:6460252.90
2023-08-08,6494464.68,['513090'],513090.XSHG:5282200:6481259.40
2023-08-09,6452201.28,['513090'],513090.XSHG:5282400:6439245.60
2023-08-10,6461739.96,['501018'],501018.XSHG:5018181:6443344.40
2023-08-11,6416579.93,['501018'],501018.XSHG:5022481:6403663.27
2023-08-14,6426624.89,['501018'],501018.XSHG:5022481:6413708.24
2023-08-15,6431647.37,['501018'],501018.XSHG:5022481:6418730.72
2023-08-16,6324038.2,"['501018', '159985']",501018.XSHG:1228625:1535781.25|159985.XSHE:2143500:4788579.00
2023-08-17,6382472.68,['159985'],159985.XSHE:2806100:6369847.00
2023-08-18,6455426.48,['159985'],159985.XSHE:2805900:6442346.40
2023-08-21,6587299.18,['159985'],159985.XSHE:2805800:6573989.40
2023-08-22,6388080.98,['159985'],159985.XSHE:2805900:6375004.80
2023-08-23,6462486.65,['511880'],511880.XSHG:63700:6448414.70
2023-08-24,6462868.85,['511880'],511880.XSHG:63700:6448796.90
2023-08-25,6467492.57,['159985'],159985.XSHE:2765700:6455143.80
2023-08-28,6531108.67,['159985'],159985.XSHE:2765300:6517812.10
2023-08-29,6572588.17,['159985'],159985.XSHE:2765300:6559291.60
2023-08-30,6558761.67,['159985'],159985.XSHE:2765300:6545465.10
2023-08-31,6572588.17,['159985'],159985.XSHE:2765300:6559291.60
2023-09-01,6503450.47,['159985'],159985.XSHE:2765400:6490393.80
2023-09-04,6384532.37,['159985'],159985.XSHE:2765500:6371712.00
2023-09-05,6453665.17,['159985'],159985.XSHE:2765400:6440616.60
2023-09-06,6553214.47,['159985'],159985.XSHE:2765300:6539934.50
2023-09-07,6561510.37,['159985'],159985.XSHE:2765300:6548230.40
2023-09-08,6449583.21,['501018'],501018.XSHG:3656209:4906632.48
2023-09-11,6431118.95,['159985'],159985.XSHE:2734900:6418810.30
2023-09-12,6366340.83,['501018'],501018.XSHG:3322393:4458651.41
2023-09-13,6470829.35,['501018'],501018.XSHG:4710493:6458085.90
2023-09-14,6484955.43,['501018'],501018.XSHG:4710393:6472079.98
2023-09-15,6607420.25,['501018'],501018.XSHG:4710193:6594270.20
2023-09-18,6602710.06,['501018'],501018.XSHG:4710193:6589560.01
2023-09-19,6597999.86,['501018'],501018.XSHG:4710193:6584849.81
2023-09-20,6452996.44,['518880'],518880.XSHG:1401900:6440328.60
2023-09-21,6433365.64,['518880'],518880.XSHG:1401800:6420244.00
2023-09-22,6382138.36,['501018'],501018.XSHG:4649600:6369952.00
2023-09-25,6361420.44,"['501018', '518880']",501018.XSHG:610371:834377.16|518880.XSHG:1206600:5527434.60
2023-09-26,6341851.18,['518880'],518880.XSHG:1382500:6329085.00
2023-09-27,6317010.44,['511880'],511880.XSHG:62100:6295511.70
2023-09-28,6342123.62,['501018'],501018.XSHG:4479900:6330098.70
2023-10-09,5938506.63,['511880'],511880.XSHG:58400:5925672.80
2023-10-10,5939616.23,['511880'],511880.XSHG:58400:5926782.40
2023-10-11,5938798.63,['511880'],511880.XSHG:58400:5925964.80
2023-10-12,5938857.03,['511880'],511880.XSHG:58400:5926023.20
2023-10-13,5965334.13,['515120'],515120.XSHG:9104000:5954016.00
2023-10-16,5890980.56,['511880'],511880.XSHG:57800:5866179.80
2023-10-17,5891321.96,['511880'],511880.XSHG:57900:5876676.30
2023-10-18,5892537.86,['511880'],511880.XSHG:57900:5877892.20
2023-10-19,5893174.76,['511880'],511880.XSHG:57900:5878529.10
2023-10-20,5893001.06,['511880'],511880.XSHG:57900:5878355.40
2023-10-23,5893174.76,['511880'],511880.XSHG:57900:5878529.10
2023-10-24,5893174.76,['511880'],511880.XSHG:57900:5878529.10
2023-10-25,5892479.96,['511880'],511880.XSHG:57900:5877834.30
2023-10-26,5892422.06,['511880'],511880.XSHG:57900:5877776.40
2023-10-27,5893232.66,['511880'],511880.XSHG:57900:5878587.00
2023-10-30,5893695.86,['511880'],511880.XSHG:57900:5879050.20
2023-10-31,5887281.46,['561980'],561980.XSHG:5527800:5876051.40
2023-11-01,5837527.76,['561980'],561980.XSHG:5527300:5825774.20
2023-11-02,5735513.21,['513120'],513120.XSHG:6512500:5724487.50
2023-11-03,5826680.41,['513120'],513120.XSHG:6511800:5815037.40
2023-11-06,6100173.81,['513120'],513120.XSHG:6511100:6087878.50
2023-11-07,6002500.71,['513120'],513120.XSHG:6511300:5990396.00
2023-11-08,6048076.81,['513120'],513120.XSHG:6511100:6035789.70
2023-11-09,5982960.51,['513120'],513120.XSHG:6511400:5970953.80
2023-11-10,5878772.91,['513120'],513120.XSHG:6511600:5866951.60
2023-11-13,5820164.31,['513120'],513120.XSHG:6511800:5808525.60
2023-11-14,5853248.66,['159892'],159892.XSHE:9453400:5842201.20
2023-11-15,5919413.86,['159892'],159892.XSHE:9452200:5907625.00
2023-11-16,5777626.26,['159892'],159892.XSHE:9452600:5766086.00
2023-11-17,5790717.34,['513310'],513310.XSHG:4657200:5779585.20
2023-11-20,5753456.34,['513310'],513310.XSHG:4656800:5741834.40
2023-11-21,5774733.04,['159509'],159509.XSHE:5510200:5763669.20
2023-11-22,5708605.24,['159509'],159509.XSHE:5509800:5697133.20
2023-11-23,5730639.54,['159509'],159509.XSHE:5509700:5719068.60
2023-11-24,5714105.34,['159509'],159509.XSHE:5509800:5702643.00
2023-11-27,5660685.68,['513030'],513030.XSHG:4608400:5649898.40
2023-11-28,5628423.38,['513030'],513030.XSHG:4607900:5617030.10
2023-11-29,5665286.58,['513030'],513030.XSHG:4607900:5653893.30
2023-11-30,5743615.28,['513030'],513030.XSHG:4607800:5732103.20
2023-12-01,5725184.08,['513030'],513030.XSHG:4607800:5713672.00
2023-12-04,5752825.98,['513030'],513030.XSHG:4607700:5741194.20
2023-12-05,5711351.28,['513030'],513030.XSHG:4607800:5699848.60
2023-12-06,5794286.68,['513030'],513030.XSHG:4607700:5782663.50
2023-12-07,5780463.58,['513030'],513030.XSHG:4607700:5768840.40
2023-12-08,5812717.48,['513030'],513030.XSHG:4607700:5801094.30
2023-12-11,5886435.28,['513030'],513030.XSHG:4607600:5874690.00
2023-12-12,5872607.88,['513030'],513030.XSHG:4607500:5860740.00
2023-12-13,5881822.88,['513030'],513030.XSHG:4607500:5869955.00
2023-12-14,5964752.48,['513030'],513030.XSHG:4607400:5952760.80
2023-12-15,5906826.6,['513290'],513290.XSHG:5335300:5895506.50
2023-12-18,5933494.6,['513290'],513290.XSHG:5334800:5921628.00
2023-12-19,5842797.8,['513290'],513290.XSHG:5334900:5831045.70
2023-12-20,5944155.5,['513290'],513290.XSHG:5334700:5932186.40
2023-12-21,5709108.76,['513520'],513520.XSHG:4376400:5698072.80
2023-12-22,5730738.24,['513290'],513290.XSHG:5266900:5719853.40
2023-12-25,5925614.54,['513290'],513290.XSHG:5265900:5913605.70
2023-12-26,5936141.14,['513290'],513290.XSHG:5266000:5924250.00
2023-12-27,6015125.84,['513290'],513290.XSHG:5265900:6003126.00
2023-12-28,6046716.14,['513290'],513290.XSHG:5265800:6034606.80
